epoch,learning_rate,loss,mae,val_loss,val_mae
0,0.0010000000474974513,0.027660872787237167,0.16084763407707214,0.050427377223968506,0.20867511630058289
1,0.0010000000474974513,0.005654133390635252,0.06880848854780197,0.014916117303073406,0.11875918507575989
2,0.0010000000474974513,0.004244541749358177,0.05668242275714874,0.006350231356918812,0.0767303928732872
3,0.0010000000474974513,0.0036552331876009703,0.05162772163748741,0.0036480629350990057,0.05590018630027771
4,0.0010000000474974513,0.0032654153183102608,0.04864761605858803,0.0029141483828425407,0.04712842032313347
5,0.0010000000474974513,0.0031650878954678774,0.04748736694455147,0.002542812842875719,0.04132295399904251
6,0.0010000000474974513,0.003052800428122282,0.04683132842183113,0.002355070086196065,0.0399944894015789
7,0.0010000000474974513,0.0027968965005129576,0.04483204707503319,0.002411238383501768,0.040519438683986664
8,0.0010000000474974513,0.0028316525276750326,0.04535737261176109,0.003215684089809656,0.04993332922458649
9,0.0010000000474974513,0.0026747516822069883,0.04456307739019394,0.00218950561247766,0.03684985265135765
10,0.0010000000474974513,0.0026996813248842955,0.04477299004793167,0.002504694974049926,0.04198550432920456
11,0.0010000000474974513,0.0025502548087388277,0.04407387226819992,0.002142619574442506,0.037730827927589417
12,0.0010000000474974513,0.002553610596805811,0.04421965032815933,0.0023423305246979,0.04080408066511154
13,0.0005000000237487257,0.002462679985910654,0.04371968284249306,0.0021546040661633015,0.03851563483476639
14,0.0005000000237487257,0.002361292950809002,0.04301381856203079,0.0021956306882202625,0.038866426795721054
15,0.0005000000237487257,0.002408486558124423,0.04325363039970398,0.0025840955786406994,0.043501123785972595
16,0.0002500000118743628,0.002383507788181305,0.04315851628780365,0.0023239976726472378,0.041046708822250366
