epoch,learning_rate,loss,mae,val_loss,val_mae
0,0.0010000000474974513,0.016090596094727516,0.1208282932639122,0.021440133452415466,0.19211246073246002
1,0.0010000000474974513,0.0054265414364635944,0.06515002250671387,0.009158467873930931,0.11532556265592575
2,0.0010000000474974513,0.004522649105638266,0.05802014842629433,0.005479293875396252,0.0750265121459961
3,0.0010000000474974513,0.003717690007761121,0.0518745593726635,0.00401299586519599,0.06124581769108772
4,0.0010000000474974513,0.0032601566053926945,0.0486573651432991,0.002735754242166877,0.04696056991815567
5,0.0010000000474974513,0.002973856870085001,0.04593084007501602,0.0021097122225910425,0.040834762156009674
6,0.0010000000474974513,0.002734513720497489,0.04431053623557091,0.0015870416536927223,0.03614689037203789
7,0.0010000000474974513,0.002568410476669669,0.042886484414339066,0.0016534463502466679,0.035265982151031494
8,0.0010000000474974513,0.002388820517808199,0.04125948250293732,0.001862312899902463,0.03750467672944069
9,0.0010000000474974513,0.00210571032948792,0.03898266702890396,0.0015132889384403825,0.03259635716676712
10,0.0005000000237487257,0.0019980764482170343,0.03785495087504387,0.0017438586801290512,0.03499772027134895
11,0.0005000000237487257,0.0019879562314599752,0.037394266575574875,0.001649964600801468,0.034839361906051636
12,0.0005000000237487257,0.0019011429976671934,0.03663511946797371,0.0015168912941589952,0.03374597057700157
13,0.0002500000118743628,0.0018835283117368817,0.03644903376698494,0.0017335693119093776,0.03543578088283539
14,0.0002500000118743628,0.0018337445799261332,0.036350373178720474,0.002119791926816106,0.03917936235666275
