epoch,learning_rate,loss,mae,val_loss,val_mae
0,0.0010000000474974513,0.020833048969507217,0.1382649540901184,0.022468507289886475,0.1934511959552765
1,0.0010000000474974513,0.006041616201400757,0.0696309357881546,0.016927728429436684,0.15900951623916626
2,0.0010000000474974513,0.0045931534841656685,0.05943875014781952,0.008533854968845844,0.10022565722465515
3,0.0010000000474974513,0.004047612193971872,0.05460818111896515,0.0038960722740739584,0.06165254861116409
4,0.0010000000474974513,0.0034947488456964493,0.0505412295460701,0.003040636656805873,0.05283162370324135
5,0.0010000000474974513,0.003300545271486044,0.04913286864757538,0.002084380714222789,0.04025283455848694
6,0.0010000000474974513,0.0030049546621739864,0.04647666960954666,0.0017467528814449906,0.035810407251119614
7,0.0010000000474974513,0.002902643522247672,0.04553373530507088,0.0015674738679081202,0.033863432705402374
8,0.0010000000474974513,0.002579817082732916,0.04308813810348511,0.0011698589660227299,0.030105816200375557
9,0.0010000000474974513,0.002476697089150548,0.04203629493713379,0.001592177082784474,0.033918336033821106
10,0.0010000000474974513,0.002338067628443241,0.0408700555562973,0.0019174525514245033,0.03672577068209648
11,0.0010000000474974513,0.0021746240090578794,0.03987400606274605,0.001703025889582932,0.03502943739295006
12,0.0005000000237487257,0.0021502042654901743,0.0395900197327137,0.0027896983083337545,0.04475032538175583
13,0.0005000000237487257,0.00203301222063601,0.038748398423194885,0.0028696726076304913,0.04496243596076965
