epoch,learning_rate,loss,mae,val_loss,val_mae
0,0.0010000000474974513,0.015352391637861729,0.11632520705461502,0.017903713509440422,0.1623402088880539
1,0.0010000000474974513,0.004727829247713089,0.05956035479903221,0.011882283724844456,0.13152234256267548
2,0.0010000000474974513,0.0037997516337782145,0.05188026279211044,0.005211156792938709,0.07315336167812347
3,0.0010000000474974513,0.0032016716431826353,0.04663870111107826,0.0031689333263784647,0.05201619118452072
4,0.0010000000474974513,0.003001831704750657,0.043911732733249664,0.002286745933815837,0.04430455341935158
5,0.0010000000474974513,0.0027409864123910666,0.04220300540328026,0.0025109881535172462,0.043621789664030075
6,0.0010000000474974513,0.0024430418852716684,0.0399760976433754,0.0019831934478133917,0.038309380412101746
7,0.0010000000474974513,0.0022293836809694767,0.03834249824285507,0.003221469232812524,0.0473758839070797
8,0.0010000000474974513,0.0021453455556184053,0.03794984519481659,0.002386140637099743,0.04056892544031143
9,0.0010000000474974513,0.0021007175091654062,0.03740087151527405,0.0017178815323859453,0.03478974476456642
10,0.0010000000474974513,0.0019088698318228126,0.03618139028549194,0.0012241097865626216,0.028641605749726295
11,0.0010000000474974513,0.0018120802706107497,0.03548218309879303,0.0022790133953094482,0.039023708552122116
12,0.0010000000474974513,0.001769320573657751,0.035060815513134,0.0019591113086789846,0.03602772206068039
13,0.0010000000474974513,0.001637781853787601,0.03389853611588478,0.0023364475928246975,0.03937160596251488
14,0.0005000000237487257,0.0015705572441220284,0.033508531749248505,0.002480356255546212,0.03998715803027153
15,0.0005000000237487257,0.0015742420218884945,0.03349844366312027,0.0026226998306810856,0.04138195514678955
