epoch,learning_rate,loss,mae,val_loss,val_mae
0,0.0010000000474974513,0.01930386573076248,0.13429176807403564,0.017929434776306152,0.15248309075832367
1,0.0010000000474974513,0.0056660170666873455,0.0665384978055954,0.009163891896605492,0.10470576584339142
2,0.0010000000474974513,0.004542716778814793,0.05790726840496063,0.004452527035027742,0.06602933257818222
3,0.0010000000474974513,0.004206426907330751,0.05502825230360031,0.0038382215425372124,0.0556543692946434
4,0.0010000000474974513,0.003804225707426667,0.05214091017842293,0.0036130868829786777,0.053227782249450684
5,0.0010000000474974513,0.0034395752009004354,0.049571700394153595,0.0037013734690845013,0.05527496710419655
6,0.0010000000474974513,0.0032437669578939676,0.04899394512176514,0.00292928796261549,0.04845704138278961
7,0.0010000000474974513,0.003198895137757063,0.04835067316889763,0.004528488498181105,0.060497596859931946
8,0.0010000000474974513,0.0031005239579826593,0.04748046025633812,0.002352109644562006,0.041890036314725876
9,0.0010000000474974513,0.0029214543756097555,0.04669124633073807,0.0027955169789493084,0.0472915880382061
10,0.0010000000474974513,0.002666452433913946,0.04504847899079323,0.0037490688264369965,0.054681356996297836
11,0.0010000000474974513,0.002693481743335724,0.0449952557682991,0.0034606775734573603,0.052339158952236176
12,0.0005000000237487257,0.00240935105830431,0.043166592717170715,0.001972600119188428,0.03787578269839287
13,0.0005000000237487257,0.0023848970886319876,0.042853403836488724,0.0019241990521550179,0.03739028051495552
14,0.0005000000237487257,0.002384722465649247,0.04277912154793739,0.0023777696769684553,0.043202538043260574
15,0.0005000000237487257,0.0023334601428359747,0.04268216714262962,0.0028750328347086906,0.04720902070403099
16,0.0002500000118743628,0.0022089628037065268,0.04165429249405861,0.002117181196808815,0.04016988351941109
17,0.0002500000118743628,0.002216547727584839,0.041762176901102066,0.00202741427347064,0.03915412351489067
18,0.0002500000118743628,0.0022170806769281626,0.04178556799888611,0.0018967293435707688,0.03833801671862602
19,0.0001250000059371814,0.00214010220952332,0.041268397122621536,0.00215125665999949,0.0410148911178112
20,0.0001250000059371814,0.002172467764467001,0.04159305989742279,0.0023184078745543957,0.042589038610458374
21,0.0001250000059371814,0.0021370421163737774,0.041249215602874756,0.0023213778622448444,0.04275819659233093
22,6.25000029685907e-05,0.002055598422884941,0.040446687489748,0.0025805721525102854,0.045164089649915695
23,6.25000029685907e-05,0.002138896379619837,0.04101460799574852,0.0024189669638872147,0.04358869045972824
