epoch,learning_rate,loss,mae,val_loss,val_mae
0,0.0010000000474974513,0.02370644174516201,0.14518561959266663,0.03095601499080658,0.19230768084526062
1,0.0010000000474974513,0.0060499501414597034,0.06882315874099731,0.014594783075153828,0.11384543031454086
2,0.0010000000474974513,0.004727553576231003,0.059882912784814835,0.005582600366324186,0.06817788630723953
3,0.0010000000474974513,0.004086991772055626,0.0557202473282814,0.0019054249860346317,0.040412936359643936
4,0.0010000000474974513,0.0037538267206400633,0.05294548720121384,0.0029146631713956594,0.05047651380300522
5,0.0010000000474974513,0.0034818958956748247,0.050539009273052216,0.0015391093911603093,0.03394494950771332
6,0.0010000000474974513,0.0034213101025670767,0.05023942142724991,0.0015193111030384898,0.03252125903964043
7,0.0010000000474974513,0.0032723210752010345,0.049302294850349426,0.0019599697552621365,0.03790957108139992
8,0.0010000000474974513,0.003054514527320862,0.04795609414577484,0.0012975105782970786,0.029348816722631454
9,0.0010000000474974513,0.002988499589264393,0.047205738723278046,0.0012971850810572505,0.029700348153710365
10,0.0010000000474974513,0.002862626453861594,0.04654068499803543,0.0015945658087730408,0.03471652790904045
11,0.0010000000474974513,0.002809327794238925,0.046416670083999634,0.0012536393478512764,0.029598744586110115
12,0.0005000000237487257,0.002675625728443265,0.045258332043886185,0.0015515600098297,0.033295322209596634
13,0.0005000000237487257,0.002592909848317504,0.04484497010707855,0.0012858165428042412,0.030104024335741997
14,0.0005000000237487257,0.0025791397783905268,0.04443897679448128,0.0013689525658264756,0.03124413639307022
15,0.0002500000118743628,0.002534999046474695,0.044341206550598145,0.0016918644541874528,0.03532552719116211
16,0.0002500000118743628,0.0024873812217265368,0.04411106929183006,0.001744135981425643,0.036346785724163055
