model,cairo,dubai,istanbul,london,los_angeles,nairobi,new_delhi,riyadh,sydney,tokyo,MEAN
NeuroSpike_h1,0.9924,0.9916,0.9888,0.9797,0.9921,0.9873,0.9806,0.995,0.9853,0.9841,0.98769
BiLSTM_h1,0.984,0.9862,0.9793,0.9564,0.9743,0.9707,0.9538,0.9872,0.9537,0.9642,0.97098
RandomForest,0.9895,0.9923,0.968,0.9293,0.9843,0.9641,0.9525,0.9942,0.9475,0.9411,0.96628
XGBoost,0.9902,0.9916,0.9651,0.9297,0.9838,0.9604,0.9471,0.9942,0.9412,0.9391,0.96424
Ridge,0.9872,0.992,0.949,0.9091,0.9707,0.9505,0.9424,0.9934,0.9162,0.9154,0.95259
LinearRegression,0.9871,0.9918,0.9489,0.9096,0.9708,0.9505,0.9423,0.9933,0.9156,0.915,0.9524899999999998
Climatology,0.9798,0.9847,0.9275,0.8487,0.9423,0.9377,0.895,0.9826,0.8897,0.8413,0.92293
Persistence,0.8969,0.8874,0.907,0.9146,0.901,0.8815,0.8832,0.892,0.8911,0.8892,0.8943900000000001
