epoch,learning_rate,loss,mae,val_loss,val_mae
0,0.0010000000474974513,0.02218511886894703,0.14303873479366302,0.019287768751382828,0.14183510839939117
1,0.0010000000474974513,0.005147779360413551,0.06483682245016098,0.009086706675589085,0.0972382128238678
2,0.0010000000474974513,0.0037728396710008383,0.05367789790034294,0.004754922352731228,0.06613296270370483
3,0.0010000000474974513,0.003044166136533022,0.047508541494607925,0.0035669903736561537,0.0565301813185215
4,0.0010000000474974513,0.002805437659844756,0.045450057834386826,0.0018289502477273345,0.040056053549051285
5,0.0010000000474974513,0.0027274778112769127,0.0447397343814373,0.0018712180899456143,0.039610739797353745
6,0.0010000000474974513,0.0026244802866131067,0.04399298503994942,0.0016741722356528044,0.036735255271196365
7,0.0010000000474974513,0.002568831667304039,0.0435161292552948,0.0015637128381058574,0.035964567214250565
8,0.0010000000474974513,0.0024707550182938576,0.042924970388412476,0.0014517490053549409,0.0333176888525486
9,0.0010000000474974513,0.0023574780207127333,0.04204479604959488,0.0016143338289111853,0.03569465130567551
10,0.0010000000474974513,0.0023366797249764204,0.04183031618595123,0.0013632720801979303,0.030997339636087418
11,0.0010000000474974513,0.0022679809480905533,0.04177512228488922,0.0023508865851908922,0.043082695454359055
12,0.0005000000237487257,0.002201061462983489,0.0413639172911644,0.0016688115429133177,0.03781655803322792
13,0.0005000000237487257,0.0021535689011216164,0.04085772857069969,0.0014231116510927677,0.03409548103809357
14,0.0005000000237487257,0.002083613071590662,0.04048186540603638,0.001472442178055644,0.03538397327065468
15,0.0002500000118743628,0.002052766503766179,0.04009774699807167,0.0019298912957310677,0.03954940289258957
