epoch,learning_rate,loss,mae,val_loss,val_mae
0,0.0010000000474974513,0.023171786218881607,0.14033754169940948,0.019130006432533264,0.15413545072078705
1,0.0010000000474974513,0.004694323521107435,0.06156288832426071,0.0060010082088410854,0.08843741565942764
2,0.0010000000474974513,0.0036051771603524685,0.05242737755179405,0.0023977411910891533,0.04936429485678673
3,0.0010000000474974513,0.0032280280720442533,0.048862285912036896,0.002310969401150942,0.04121425375342369
4,0.0010000000474974513,0.0029766964726150036,0.04667820408940315,0.0021654162555933,0.04074086248874664
5,0.0010000000474974513,0.0028651761822402477,0.04526790976524353,0.0020055025815963745,0.03392132371664047
6,0.0010000000474974513,0.0026094329077750444,0.04344521090388298,0.0020692406687885523,0.03265168145298958
7,0.0010000000474974513,0.002655944088473916,0.04372787848114967,0.002371259732171893,0.03450270742177963
8,0.0010000000474974513,0.002536476356908679,0.043083179742097855,0.0019123712554574013,0.034930840134620667
9,0.0005000000237487257,0.0023959800601005554,0.041922204196453094,0.0018999989842996001,0.03227965906262398
10,0.0005000000237487257,0.002330803545191884,0.04139653965830803,0.001827087951824069,0.03320707008242607
11,0.0005000000237487257,0.0023474707268178463,0.04194464161992073,0.0018889238126575947,0.03318130224943161
12,0.0005000000237487257,0.0023515811190009117,0.041782181710004807,0.001831760979257524,0.03249341994524002
13,0.0002500000118743628,0.0022550930734723806,0.040970027446746826,0.0018456026446074247,0.03325703740119934
14,0.0002500000118743628,0.0022858523298054934,0.04130902141332626,0.0019126283004879951,0.0307913850992918
15,0.0002500000118743628,0.0023097561206668615,0.04133620858192444,0.0018099634908139706,0.032946765422821045
16,0.0001250000059371814,0.002191269537433982,0.040568139404058456,0.0018582801567390561,0.03474092483520508
17,0.0001250000059371814,0.0021702784579247236,0.04059255123138428,0.001777239260263741,0.03336015343666077
18,0.0001250000059371814,0.002187298843637109,0.04069443419575691,0.0017922237748280168,0.03142036870121956
19,0.0001250000059371814,0.0021847840398550034,0.04074079543352127,0.0018029713537544012,0.03287801891565323
20,0.0001250000059371814,0.0021616844460368156,0.04039231687784195,0.001785822445526719,0.03279847279191017
21,6.25000029685907e-05,0.0021475334651768208,0.040606915950775146,0.001774862059392035,0.03290290758013725
22,6.25000029685907e-05,0.002148261060938239,0.04030536115169525,0.0017822235822677612,0.03319985419511795
23,6.25000029685907e-05,0.0021300313528627157,0.04018963873386383,0.001786429202184081,0.03351965546607971
24,3.125000148429535e-05,0.0021078833378851414,0.04041533172130585,0.0017426401609554887,0.032023023813962936
25,3.125000148429535e-05,0.002139539457857609,0.040342286229133606,0.001767642330378294,0.03274072706699371
26,3.125000148429535e-05,0.002145924372598529,0.04034184664487839,0.001763832406140864,0.03295889496803284
27,1.5625000742147677e-05,0.0021385697182267904,0.04078195244073868,0.0017584754386916757,0.03182423859834671
28,1.5625000742147677e-05,0.002131899120286107,0.040495000779628754,0.001748880953527987,0.031997788697481155
29,1.5625000742147677e-05,0.002074248157441616,0.04008033871650696,0.0017520964611321688,0.03206516429781914
