epoch,learning_rate,loss,mae,val_loss,val_mae
0,0.0010000000474974513,0.015445374883711338,0.12031904608011246,0.00837701465934515,0.09891583770513535
1,0.0010000000474974513,0.005769096314907074,0.06584568321704865,0.004262317903339863,0.0732526108622551
2,0.0010000000474974513,0.0044709439389407635,0.05667147412896156,0.002889332827180624,0.05557587370276451
3,0.0010000000474974513,0.003938794601708651,0.05269143357872963,0.0018970920937135816,0.04288965463638306
4,0.0010000000474974513,0.0034748376347124577,0.049100231379270554,0.0013483038637787104,0.03508991003036499
5,0.0010000000474974513,0.003336825408041477,0.04762712121009827,0.0015418828697875142,0.03188248351216316
6,0.0010000000474974513,0.002867285627871752,0.04468240961432457,0.0011376501061022282,0.02614957094192505
7,0.0010000000474974513,0.0027076436672359705,0.04360134154558182,0.0013900230405852199,0.028548581525683403
8,0.0010000000474974513,0.0024913179222494364,0.04214371740818024,0.001841750112362206,0.035340435802936554
9,0.0010000000474974513,0.0023119766265153885,0.04045534133911133,0.001887958962470293,0.03570973873138428
10,0.0005000000237487257,0.002193541033193469,0.03948429599404335,0.0013065183302387595,0.028878632932901382
11,0.0005000000237487257,0.0020635719411075115,0.03861789032816887,0.0017841856461018324,0.033970706164836884
